entry,name,Volume,sound1,sound2,sound3,sound4,sound5,sound6,sound7,sound8,sound9,sound10,Path
3,Invisibility Impact,0.80,Dispel_Low_Base.ogg,,,,,,,,,,Sound\Spells
7,BlizzardImpactVariations,0.60,BlizzardImpact1a.ogg,BlizzardImpact1b.ogg,BlizzardImpact1c.ogg,BlizzardImpact1d.ogg,BlizzardImpact1e.ogg,BlizzardImpact1f.ogg,,,,,Sound\Spells
15,FrostImpact,0.80,DivineShield.ogg,,,,,,,,,,Sound\Spells
20,SPELL_Frost_PrecastLow_Loop,0.80,PreCastFrostMagicLow.ogg,,,,,,,,,,sound\spells
22,Ice Blast Impact,0.80,IceBlastImpact.ogg,,,,,,,,,,Sound\Spells
25,FireShield_Impact,0.80,DivineShield.ogg,,,,,,,,,,Sound\Spells
26,Natures_Healing_Impact,0.80,RestorationImpact.ogg,,,,,,,,,,sound\spells
27,SPELL_Nature_PreCastHigh_Loop,0.80,precastnaturemagichigh.ogg,,,,,,,,,,sound\spells
29,Freeze Impact,0.80,IceBarrirerState.ogg,,,,,,,,,,Sound\Spells
30,Call Lightning Impact,0.80,CallLightning.ogg,,,,,,,,,,Sound\Spells
31,Call Lightning Precast,0.80,PreCastNatureMagicMedium.ogg,,,,,,,,,,Sound\Spells
33,Lightning Shield,0.80,LightningShieldImpact.ogg,,,,,,,,,,Sound\Spells
35,SPELL_Lightning_Cast,0.80,LightningShieldImpact.ogg,,,,,,,,,,sound\spells
36,Ice Prison,0.80,DivineShield.ogg,,,,,,,,,,Sound\Spells
37,Resurrection,0.80,Resurrection.ogg,,,,,,,,,,Sound\Spells
38,Immolate,0.80,Immolate.ogg,,,,,,,,,,Sound\Spells
39,Divine Shield,0.80,DivineShield.ogg,,,,,,,,,,Sound\Spells
42,ShieldBash,0.80,m1hSwordHitMetalShieldCrit.ogg,,,,,,,,,,Sound\Item\Weapons\Sword1H
44,Holy Bolt,0.80,HolyBolt.ogg,,,,,,,,,,sound\spells
45,Item - Eat,0.80,iEating1.ogg,,,,,,,,,,Sound\Item\UseSounds
46,Dismember,0.80,m2hAxeHitFleshCrit.ogg,,,,,,,,,,Sound\Item\Weapons\Axe2H
48,Special Physical Ability Cast,0.80,mWooshMediumCrit.ogg,,,,,,,,,,sound\item\weapons\weaponswings
49,COMBAT_SpecialAbility_Impact,0.80,UnarmedAttackMediumCrit.ogg,,,,,,,,,,sound\item\weapons\unarmed
50,COMBAT_SpecialWeapon_Impact,0.80,m1hSwordHitFleshCrit.ogg,,,,,,,,,,sound\item\weapons\sword1h
51,FireBoltPrecast,0.80,PreCastFireHigh.ogg,,,,,,,,,,Sound\Spells
61,GLUESCREENSMALLBUTTONMOUSEDOWN,0.70,iUIMainMenuButtonA.ogg,,,,,,,,,,Sound\interface
62,GLUESCREENSMALLBUTTONMOUSEUP,1.00,,,,,,,,,,,Sound\Interface
63,GLUESCREENSMALLBUTTONMOUSEOVER,1.00,MouseOverTarget.ogg,,,,,,,,,,Sound\Interface
64,GLUESCREENMEDIUMBUTTONMOUSEDOWN,0.70,iUIMainMenuButtonA.ogg,,,,,,,,,,Sound\interface
65,GLUESCREENMEDIUMBUTTONMOUSEUP,1.00,,,,,,,,,,,Sound\Interface
66,GLUESCREENMEDIUMBUTTONMOUSEOVER,0.70,MouseOverTarget.ogg,,,,,,,,,,Sound\Interface
67,GLUESCREENLARGEBUTTONMOUSEDOWN,1.00,iUIMainMenuButtonA.ogg,,,,,,,,,,Sound\interface
68,GLUESCREENLARGEBUTTONMOUSEUP,1.00,,,,,,,,,,,Sound\Interface
69,GLUESCREENLARGEBUTTONMOUSEOVER,1.00,MouseOverTarget.ogg,,,,,,,,,,Sound\Interface
72,GLUECHECKBOXMOUSEUP,1.00,,,,,,,,,,,Sound\Interface
73,GLUECHECKBOXMOUSEOVER,1.00,MouseOverTarget.ogg,,,,,,,,,,Sound\Interface
75,GLUECHARCUSTOMIZATIONMOUSEUP,1.00,,,,,,,,,,,Sound\Interface
76,GLUECHARCUSTOMIZATIONMOUSEOVER,1.00,MouseOverTarget.ogg,,,,,,,,,,Sound\Interface
77,GLUESCROLLBUTTONMOUSEDOWN,1.00,iUIMainMenuButtonA.ogg,,,,,,,,,,Sound\interface
78,GLUESCROLLBUTTONMOUSEUP,1.00,,,,,,,,,,,Sound\Interface
79,GLUESCROLLBUTTONMOUSEOVER,1.00,MouseOverTarget.ogg,,,,,,,,,,Sound\Interface
80,GAMEABILITYBUTTONMOUSEDOWN,0.50,uChatScrollButton.ogg,,,,,,,,,,Sound\interface
83,GAMESPELLBUTTONMOUSEDOWN,0.50,uChatScrollButton.ogg,,,,,,,,,,sound\interface
88,GAMEDIALOGOPEN,0.70,uEscapeScreenOpen.ogg,,,,,,,,,,Sound\interface
89,GAMEDIALOGCLOSE,0.70,uEscapeScreenClose.ogg,,,,,,,,,,Sound\interface
92,GAMESCREENSMALLBUTTONMOUSEUP,1.00,,,,,,,,,,,Sound\Interface
93,GAMESCREENSMALLBUTTONMOUSEOVER,1.00,,,,,,,,,,,Sound\Interface
95,GAMESCREENMEDIUMBUTTONMOUSEUP,1.00,,,,,,,,,,,Sound\Interface
96,GAMESCREENMEDIUMBUTTONMOUSEOVER,1.00,,,,,,,,,,,Sound\Interface
98,GAMESCREENLARGEBUTTONMOUSEUP,1.00,,,,,,,,,,,Sound\Interface
99,GAMESCREENLARGEBUTTONMOUSEOVER,1.00,,,,,,,,,,,Sound\Interface
100,GAMETARGETFRIENDLYUNIT,1.00,MouseOverTarget.ogg,,,,,,,,,,Sound\interface
101,GAMETARGETHOSTILEUNIT,1.00,iSelectTarget.ogg,,,,,,,,,,Sound\interface
102,GAMETARGETNEUTRALUNIT,1.00,MouseOverTarget.ogg,,,,,,,,,,Sound\interface
103,GAMEHIGHLIGHTFRIENDLYUNIT,1.00,,,,,,,,,,,Sound\Interface
104,GAMEHIGHLIGHTHOSTILEUNIT,1.00,,,,,,,,,,,Sound\Interface
105,GAMEHIGHLIGHTNEUTRALUNIT,1.00,,,,,,,,,,,Sound\Interface
106,GAMEINITIALATTACK,1.00,,,,,,,,,,,Sound\Interface
111,ACTIONBARBUTTONDOWN,0.50,uChatScrollButton.ogg,,,,,,,,,,Sound\interface
113,MINIMAPZOOMOUT,0.70,uMiniMapZoom.ogg,,,,,,,,,,Sound\interface
114,MINIMAPZOOMIN,0.70,uMiniMapZoom.ogg,,,,,,,,,,Sound\interface
115,MINIMAPOPEN,0.70,uMiniMapOpen.ogg,,,,,,,,,,Sound\interface
116,MINIMAPCLOSE,0.70,uMiniMapClose.ogg,,,,,,,,,,Sound\interface
117,BAGMENUBUTTONPRESS,0.50,iEquipmentContainerOpenA.ogg,,,,,,,,,,Sound\interface
120,LOOTWINDOWCOINSOUND,0.70,LootCoinSmall.ogg,,,,,,,,,,Sound\Interface
121,ITEMWEAPONSOUND,1.00,MouseOverTarget.ogg,,,,,,,,,,Sound\Interface
122,ITEMARMORSOUND,1.00,MouseOverTarget.ogg,,,,,,,,,,Sound\Interface
123,ITEMGENERICSOUND,1.00,MouseOverTarget.ogg,,,,,,,,,,Sound\Interface
124,LEVELUPSOUND,0.70,LevelUp.ogg,,,,,,,,,,Sound\Spells
129,Sword2H_ArmorFlesh,0.50,m2hSwordHitFlesh1a.ogg,m2hSwordHitFlesh1b.ogg,m2hSwordHitFlesh1c.ogg,,,,,,,,sound\item\weapons\sword2h
130,Sword2H_ArmorFleshCritical,0.75,m2hSwordHitFlesh1a.ogg,m2hSwordHitFlesh1b.ogg,m2hSwordHitFlesh1c.ogg,,,,,,,,sound\item\weapons\sword2h
131,Sword2H_ArmorChain,0.75,m2hSwordHitChain1a.ogg,m2hSwordHitChain1b.ogg,m2hSwordHitChain1c.ogg,,,,,,,,Sound\Item\Weapons\Sword2H
132,Sword2H_ArmorChainCritical,0.75,m2hSwordHitChainCrit.ogg,,,,,,,,,,Sound\Item\Weapons\Sword2H
133,Sword2H_ArmorPlate,0.75,m2hSwordHitPlate1a.ogg,m2hSwordHitPlate1b.ogg,m2hSwordHitPlate1c.ogg,,,,,,,,Sound\Item\Weapons\Sword2H
134,Sword2H_ArmorPlateCritical,0.75,m2hSwordHitPlateCrit.ogg,,,,,,,,,,Sound\Item\Weapons\Sword2H
135,Sword2H_ShieldMetal,0.75,m2hSwordHitMetalShield1a.ogg,m2hSwordHitMetalShield1b.ogg,m2hSwordHitMetalShield1c.ogg,,,,,,,,Sound\Item\Weapons\Sword2H
136,Sword2H_ShieldMetalCtitical,0.75,m2hSwordHitMetalShieldCrit.ogg,,,,,,,,,,Sound\Item\Weapons\Sword2H
137,Sword2H_ShieldWood,0.75,m2hSwordHitMetalShield1a.ogg,m2hSwordHitMetalShield1b.ogg,m2hSwordHitMetalShield1c.ogg,,,,,,,,Sound\Item\Weapons\Sword2H
138,Sword2H_ShieldWoodCritical,0.75,m2hSwordHitMetalShield1a.ogg,m2hSwordHitMetalShield1b.ogg,m2hSwordHitMetalShield1c.ogg,,,,,,,,Sound\Item\Weapons\Sword2H
139,Sword2H_WeaponMetal,0.75,m2hSwordHitMetalWeapon1a.ogg,,,,,,,,,,Sound\Item\Weapons\Sword2H
140,Sword2H_WeaponMetalCtitical,0.75,m2hSwordHitMetalWeaponCrit.ogg,,,,,,,,,,Sound\Item\Weapons\Sword2H
141,Sword2H_WeaponWood,0.75,m2hSwordHitMetalWeapon1a.ogg,,,,,,,,,,Sound\Item\Weapons\Sword2H
142,Sword2H_WeaponWoodCritical,0.75,m2hSwordHitMetalWeapon1a.ogg,,,,,,,,,,Sound\Item\Weapons\Sword2H
143,Sword1H_ArmorFlesh,0.30,m1hSwordHitFlesh1a.ogg,m1hSwordHitFlesh1b.ogg,m1hSwordHitFlesh1c.ogg,,,,,,,,sound\item\weapons\sword1h
144,Sword1H_ArmorFleshCritical,0.30,m1hSwordHitFleshCrit.ogg,,,,,,,,,,sound\item\weapons\sword1h
145,Sword1H_ArmorChain,0.75,m1hSwordHitChain1a.ogg,m1hSwordHitChain1b.ogg,m1hSwordHitChain1c.ogg,,,,,,,,Sound\Item\Weapons\Sword1H
